timestamp_utc,temperature_C,cloudiness_%,weather_description,sunrise_utc,sunset_utc
2025-09-09T23:58:13.804889,11.17,0,clear sky,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-10T00:28:13.990372,11.08,0,clear sky,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-10T00:58:14.143775,11.08,0,clear sky,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-10T01:28:14.321048,10.99,20,few clouds,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-10T01:58:14.519427,10.15,40,mist,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-10T02:28:14.697659,11.08,100,fog,2025-09-10T04:52:54,2025-09-10T17:47:29
2025-09-10T02:58:14.866139,10.99,100,fog,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-10T03:28:15.057390,10.15,100,fog,2025-09-10T04:52:54,2025-09-10T17:47:28
2025-09-10T03:58:15.209754,10.24,75,fog,2025-09-10T04:52:54,2025-09-10T17:47:29
2025-09-10T04:28:15.391255,11.08,40,fog,2025-09-10T04:52:54,2025-09-10T17:47:28
